MEXSTATE_CANPROV,MEXSTATE_CANPROV_verbose
AG,Aguascalientes
XA,Alberta
BC,Baja California
BN,Baja California Norte
BS,Baja California Sur
XC,British Columbia
CM,Campeche
CS,Chiapas
CH,Chihuahua
CO,Coahuila
CL,Colima
DF,Distrito Federal
DG,Durango
MX,Estado de Mexico
GT,Guanajuato
GR,Guerrero
HG,Hidalgo
JA,Jalisco
XM,Manitoba
MI,Michoacan
MO,Morelos
NA,Nayarit
XB,New Brunswick
XW,Newfoundland
XT,Northwest Territories
XN,Nova Scotia
NL,Nuevo Leon
XV,Nunavut
OA,Oaxaca
XO,Ontario
XP,Prince Edward Island
OT,Province Unknown
PU,Puebla
XQ,Quebec
QT,Queretaro
QR,Quintana Roo
SL,San Luis Potosi
XS,Saskatchewan
SI,Sinaloa
SO,Sonora
XX,State Unknown
TB,Tabasco
TM,Tamaulipas
TL,Tlaxcala
VE,Veracruz
YU,Yucatan
XY,Yukon
ZA,Zacatecas
