COMMODITY2,COMMODITY2_verbose
88,"Aircraft, spacecraft, and parts thereof"
35,Albuminoidal substances; Modified starches; Glues; Enzymes
76,Aluminum and articles thereof
15,Animal or vegetable fats and oils and their cleavage products; Prepared edible fats; Animal or vegetable waxes
93,Arms and ammunition; Parts and accessories thereof
61,"Articles of apparel and clothing accessories, knitted or crocheted"
62,"Articles of apparel and clothing accessories, not knitted or crocheted"
73,Articles of iron or steel
42,"Articles of leather; Saddlery and harness; Travel goods, handbags and similar containers; Articles of animal gut (other than silkworm gut)"
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials"
22,"Beverages, spirits and vinegar"
57,Carpets and other textile floor coverings
69,Ceramic products
10,Cereals
91,Clocks and watches and parts thereof
18,Cocoa and cocoa preparations
9,"Coffee, tea, mate and spices"
74,Copper and articles thereof
45,Cork and articles of cork
52,Cotton
4,"Dairy produce; Birds' eggs; Natural honey; Edible products of animal origin, not elsewhere specified or included"
8,Edible fruit and nuts; Peel of citrus fruit or melons
7,Edible vegetables and certain roots and tubers
85,"Electrical machinery and equipment and parts thereof; Sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
33,"Essential oils and resinoids; Perfumery, cosmetic or toilet preparations"
36,Explosives; Pyrotechnic products; Matches; Pyrophoric alloys; Certain combustible preparations
31,Fertilizers
3,"Fish and crustaceans, mollusks and other aquatic invertebrates"
64,"Footwear, gaiters and the like; Parts of such articles"
94,"Furniture; Bedding, mattress supports, cushions and similar stuffed furnishings; Lamps and lighting fittings, not elsewhere specified or included; Illuminated signs, illuminated nameplates and the like; Prefabricated buildings"
43,Furskins and artificial fur; Manufactures thereof
70,Glass and glassware
65,Headgear and parts thereof
59,"Impregnated, coated, covered or laminated textile fabrics; Textile articles of a kind suitable for industrial use"
28,"Inorganic chemicals; Organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes"
72,Iron and steel
60,Knitted or crocheted fabrics
13,Lac; Gums; Resins and other vegetable saps and extract
78,Lead and articles thereof
1,Live animals
6,"Live trees and other plants; Bulbs, roots and the like; Cut flowers and ornamental foliage"
54,Man-made filaments
55,Man-made staple fibers
46,"Manufactures of straw, of esparto or of other plaiting materials; Basketware and wickerwork"
2,Meat and edible meat offal
27,"Mineral fuels, mineral oils and products of their distillation; Bituminous substances; Mineral waxes"
83,Miscellaneous articles of base metal
38,Miscellaneous chemical products
21,Miscellaneous edible preparations
96,Miscellaneous manufactured articles
92,Musical instruments; Parts and accessories of such articles
71,"Natural or cultured pearls, precious or semiprecious stones, precious metals; metals clad with precious metal, and articles thereof; imitation jewelry; coin"
75,Nickel and articles thereof
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof"
12,Oil seeds and oleaginous fruits; Miscellaneous grains; Seeds and fruit; Industrial or medicinal plants; Straw and fodder
90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; Parts and accessories thereof"
26,"Ores, slag and ash"
29,Organic chemicals
81,Other base metals; Cermets; Articles thereof
63,Other made-up textile articles; Needle craft sets; Worn clothing and worn textile articles; rags
53,Other vegetable textile fibers; Paper yarn and woven fabrics of paper yarn
48,"Paper and paperboard; Articles of paper pulp, of paper or of paperboard"
30,Pharmaceutical products
37,Photographic or cinematographic goods
39,Plastics and articles thereof
19,"Preparations of cereals, flour, starch or milk; Bakers' wares"
16,"Preparations of meat, of fish, or of crustaceans, mollusks or other aquatic invertebrates"
20,"Preparations of vegetables, fruit, nuts, or other parts of plants"
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair
49,"Printed books, newspapers, pictures and other products of the printing industry; Manuscripts, typescripts and plans"
5,"Products of animal origin, not elsewhere specified or included"
11,Products of the milling industry; Malt; Starches; inulin; Wheat gluten
47,Pulp of wood or of other fibrous cellulosic material; Waste and scrap of paper or paperboard
86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; Mechanical (including electromechanical) traffic signaling equipment of all kinds"
41,Raw hides and skins (other than furskins) and leather
77,Reserved for possible future use
23,Residues and waste from the food industries; Prepared animal feed
40,Rubber and articles thereof
25,"Salt; Sulfur; Earths and stone; Plastering materials, lime and cement"
89,"Ships, boats, and floating structures"
50,Silk
34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modeling pastes, dental waxes and dental preparations with a basis of plaster"
98,Special classification provisions
58,Special woven fabrics; Tuffed textile fabrics; Lace; Tapestries; Trimmings; Embroidery
17,Sugars and sugar confectionery
32,"Tanning or dyeing extracts; Tannins and their derivatives; Dyes, pigments and other coloring matter; Paints and varnishes; Putty and other mastics; Inks"
99,"Temporary legislation; Temporary modifications established pursuant to trade legislation; Additional import restrictions established pursuant to Section 22 of the Agricultural Adjustment Act, as needed-(Imports only) "
80,Tin and articles thereof
24,Tobacco and manufactured tobacco substitutes
82,"Tools, implements, cutlery, spoons and forks, of base metal; Parts thereof of base metal"
95,"Toys, games and sports equipment; Parts and accessories thereof"
66,"Umbrellas, sun umbrellas, walking sticks, seatsticks, whips, riding crops and parts thereof"
14,Vegetable plaiting materials; Vegetable products not elsewhere specified or included
87,"Vehicles, other than railway or tramway rolling stock, and parts and accessories thereof"
56,"Wadding, felt and nonwovens; Special yarns; Twine, cordage, ropes and cables and articles thereof"
44,Wood and articles of wood; Wood charcoal
51,"Wool, fine or coarse animal hair; Horsehair yarn and woven fabric"
97,"Works of art, collectors' pieces and antiques"
79,Zinc and articles thereof
